Boids()
Step 595, 0 has arrived, 0 collisions
Step 596, 0 has arrived, 0 collisions
Step 597, 0 has arrived, 0 collisions
Step 598, 0 has arrived, 0 collisions
Step 599, 0 has arrived, 0 collisions
Step 600, 0 has arrived, 0 collisions
Step 601, 0 has arrived, 0 collisions
Step 602, 0 has arrived, 0 collisions
Step 603, 0 has arrived, 0 collisions
Step 604, 0 has arrived, 0 collisions
Step 605, 0 has arrived, 0 collisions
Step 606, 0 has arrived, 0 collisions
Step 607, 0 has arrived, 0 collisions
Step 608, 0 has arrived, 0 collisions
Step 609, 0 has arrived, 0 collisions
Step 610, 0 has arrived, 0 collisions
Step 611, 0 has arrived, 0 collisions
Step 612, 0 has arrived, 0 collisions
Step 613, 0 has arrived, 0 collisions
Step 614, 0 has arrived, 0 collisions
Step 615, 0 has arrived, 0 collisions
Step 616, 0 has arrived, 0 collisions
Drone 7 Collided with drone 50 and removed
Collide! Times 1/nStep 617, 0 has arrived, 1 collisions
Drone 7 has arrived
Step 618, 1 has arrived, 1 collisions
Step 619, 1 has arrived, 1 collisions
Step 620, 1 has arrived, 1 collisions
Step 621, 1 has arrived, 1 collisions
Step 622, 1 has arrived, 1 collisions
Step 623, 1 has arrived, 1 collisions
Step 624, 1 has arrived, 1 collisions
Step 625, 1 has arrived, 1 collisions
Step 626, 1 has arrived, 1 collisions
Step 627, 1 has arrived, 1 collisions
Step 628, 1 has arrived, 1 collisions
Step 629, 1 has arrived, 1 collisions
Step 630, 1 has arrived, 1 collisions
Step 631, 1 has arrived, 1 collisions
Step 632, 1 has arrived, 1 collisions
Step 633, 1 has arrived, 1 collisions
Step 634, 1 has arrived, 1 collisions
Step 635, 1 has arrived, 1 collisions
Step 636, 1 has arrived, 1 collisions
Step 637, 1 has arrived, 1 collisions
Step 638, 1 has arrived, 1 collisions
Step 639, 1 has arrived, 1 collisions
Step 640, 1 has arrived, 1 collisions
Step 641, 1 has arrived, 1 collisions
Step 642, 1 has arrived, 1 collisions
Step 643, 1 has arrived, 1 collisions
Step 644, 1 has arrived, 1 collisions
Step 645, 1 has arrived, 1 collisions
Step 646, 1 has arrived, 1 collisions
Step 647, 1 has arrived, 1 collisions
Step 648, 1 has arrived, 1 collisions
Step 649, 1 has arrived, 1 collisions
Step 650, 1 has arrived, 1 collisions
Step 651, 1 has arrived, 1 collisions
Step 652, 1 has arrived, 1 collisions
Step 653, 1 has arrived, 1 collisions
Step 654, 1 has arrived, 1 collisions
Step 655, 1 has arrived, 1 collisions
Step 656, 1 has arrived, 1 collisions
Step 657, 1 has arrived, 1 collisions
Step 658, 1 has arrived, 1 collisions
Step 659, 1 has arrived, 1 collisions
Step 660, 1 has arrived, 1 collisions
Step 661, 1 has arrived, 1 collisions
Step 662, 1 has arrived, 1 collisions
Step 663, 1 has arrived, 1 collisions
Step 664, 1 has arrived, 1 collisions
Step 665, 1 has arrived, 1 collisions
Step 666, 1 has arrived, 1 collisions
Step 667, 1 has arrived, 1 collisions
Step 668, 1 has arrived, 1 collisions
Step 669, 1 has arrived, 1 collisions
Step 670, 1 has arrived, 1 collisions
Step 671, 1 has arrived, 1 collisions
Step 672, 1 has arrived, 1 collisions
Step 673, 1 has arrived, 1 collisions
Step 674, 1 has arrived, 1 collisions
Step 675, 1 has arrived, 1 collisions
Step 676, 1 has arrived, 1 collisions
Step 677, 1 has arrived, 1 collisions
Step 678, 1 has arrived, 1 collisions
Step 679, 1 has arrived, 1 collisions
Step 680, 1 has arrived, 1 collisions
Step 681, 1 has arrived, 1 collisions
Step 682, 1 has arrived, 1 collisions
Step 683, 1 has arrived, 1 collisions
Step 684, 1 has arrived, 1 collisions
Step 685, 1 has arrived, 1 collisions
Step 686, 1 has arrived, 1 collisions
Step 687, 1 has arrived, 1 collisions
Step 688, 1 has arrived, 1 collisions
Step 689, 1 has arrived, 1 collisions
Step 690, 1 has arrived, 1 collisions
Step 691, 1 has arrived, 1 collisions
Step 692, 1 has arrived, 1 collisions
Step 693, 1 has arrived, 1 collisions
Step 694, 1 has arrived, 1 collisions
Step 695, 1 has arrived, 1 collisions
Step 696, 1 has arrived, 1 collisions
